SMILES,TITLE,dockvalent_id,number_of_overlapping_fragments,overlapping_fragments,overlap_score,scaffold,scaffold_generic
CCC(=O)N1C[C@H](c2ccccc2C1)[C@@H]1[C@@H](Cl)C[C@@H]2[C@@H]([NH2+]C[C@@H]2C2CC2)C1,DOU-UNK-b53-14,868_ACL2ACR.0,0,,1369.4077233261391,c1ccc2c(c1)CNCC2C1CCC2C(C1)[NH2+]CC2C1CC1,C1CCC2C(C1)CCCC2C1CCC2C(CCC2C2CC2)C1
CC(=O)N1C[C@H](c2ccccc2C1)[C@H]1[C@@H](Cl)C[C@H]2[C@H]([NH2+]C[C@H]2C2CC2)C1,DOU-UNK-b53-14,868_ACL.0,0,,1672.3039776665814,c1ccc2c(c1)CNCC2C1CCC2C(C1)[NH2+]CC2C1CC1,C1CCC2C(C1)CCCC2C1CCC2C(CCC2C2CC2)C1
CCOc1cccc(c1)[C@H]1[C@H](Cc2c[nH]c3ncccc23)N(Cc2ccccc12)C(=O)CC,DOU-UNK-b53-15,869_ACL2ACR.0,0,,1502.3030879922749,c1ccc(C2c3ccccc3CNC2Cc2c[nH]c3ncccc23)cc1,C1CCC(C2C(CC3CCC4CCCCC43)CCC3CCCCC32)CC1
CCOc1cccc(c1)[C@H]1[C@H](Cc2c[nH]c3ncccc23)N(Cc2ccccc12)C(=O)C,DOU-UNK-b53-15,869_ACL.0,0,,1536.0175590101187,c1ccc(C2c3ccccc3CNC2Cc2c[nH]c3ncccc23)cc1,C1CCC(C2C(CC3CCC4CCCCC43)CCC3CCCCC32)CC1
CCOc1cccc(c1)[C@H]1[C@H](Cc2c[nH]c3ncccc23)N([C@@H](C2CC2)c2ccccc12)C(=O)CC,DOU-UNK-b53-17,871_ACL2ACR.0,0,,1234.4283460424015,c1ccc(C2c3ccccc3C(C3CC3)NC2Cc2c[nH]c3ncccc23)cc1,C1CCC(C2C(CC3CCC4CCCCC43)CC(C3CC3)C3CCCCC32)CC1
CCOc1cccc(c1)[C@H]1[C@H](Cc2c[nH]c3ncccc23)N([C@@H](C2CC2)c2ccccc12)C(=O)C,DOU-UNK-b53-17,871_ACL.0,0,,1470.561978505278,c1ccc(C2c3ccccc3C(C3CC3)NC2Cc2c[nH]c3ncccc23)cc1,C1CCC(C2C(CC3CCC4CCCCC43)CC(C3CC3)C3CCCCC32)CC1
CCC(=O)N1CCN(Cc2cc(ccc2)C#N)CC1,PAT-UNK-b2d-1,897_ACL2ACR.0,2,"x1425,x1384",1666.355787548965,c1ccc(CN2CCNCC2)cc1,C1CCC(CC2CCCCC2)CC1
CC(=O)N1CCN(Cc2cc(ccc2)C#N)CC1,PAT-UNK-b2d-1,897_ACL.0,0,,1540.4719661141296,c1ccc(CN2CCNCC2)cc1,C1CCC(CC2CCCCC2)CC1
CCC(=O)N1CCN(Cc2cccc(c2)N2CCCCC2)CC1,PAT-UNK-b2d-3,899_ACL2ACR.0,0,,930.3408960760099,c1cc(CN2CCNCC2)cc(N2CCCCC2)c1,C1CCC(CC2CCCC(C3CCCCC3)C2)CC1
CC(=O)N1CCN(Cc2cccc(c2)N2CCCCC2)CC1,PAT-UNK-b2d-3,899_ACL.0,0,,925.3110418467676,c1cc(CN2CCNCC2)cc(N2CCCCC2)c1,C1CCC(CC2CCCC(C3CCCCC3)C2)CC1
CC(=O)N1CCN(C[C@H]2[C@@H]3[NH2+]C[C@H](CCNC(=O)CC)[C@@H]3CCC2)CC1,PAT-UNK-b2d-4,900_ACL2ACR.0,0,,680.9930805555351,C1CC2CC[NH2+]C2C(CN2CCNCC2)C1,C1CCC(CC2CCCC3CCCC32)CC1
CC(=O)N1CCN(C[C@H]2[C@H]3[NH2+]C[C@@H](CCNC(=O)C)[C@H]3CCC2)CC1,PAT-UNK-b2d-4,900_ACL.0,0,,1201.377500797435,C1CC2CC[NH2+]C2C(CN2CCNCC2)C1,C1CCC(CC2CCCC3CCCC32)CC1
CCN[C@H](COc1cccc(CN2CCN(CC2)C(=O)C)c1)OCC#N,MAK-UNK-af8-20,944_NCL.0,0,,1089.5286537379254,c1ccc(CN2CCNCC2)cc1,C1CCC(CC2CCCCC2)CC1
C[NH+](C)CCCC(=O)N[C@H]1C[NH2+][C@H]2CCCC[C@H]12,ANT-OPE-ab3-1,1006_ACR.0,0,,1624.9544372703556,C1CCC2[NH2+]CCC2C1,C1CCC2CCCC2C1
C[NH+](C)CCCC(=O)NC[C@H]1C[NH2+][C@H]2CCCC[C@@H]12,ANT-OPE-ab3-2,1007_ACR.0,0,,1614.7275007513806,C1CCC2[NH2+]CCC2C1,C1CCC2CCCC2C1
CO[C@@H]1[C@H](O)C[C@@H]2[NH2+]C[C@H](CCNC(=O)CC)[C@@H]2C1,JOH-MSK-a63-1,1027_ACL2ACR.0,0,,574.6915022228752,C1CCC2[NH2+]CCC2C1,C1CCC2CCCC2C1
CO[C@H]1[C@@H](O)C[C@H]2[NH2+]C[C@@H](CCNC(=O)C)[C@H]2C1,JOH-MSK-a63-1,1027_ACL.0,1,x1392,1967.6106855850092,C1CCC2[NH2+]CCC2C1,C1CCC2CCCC2C1
CO[C@@H]1[C@H](OS(=O)(=O)O)C[C@@H]2[NH2+]C[C@H](CCNC(=O)CC)[C@@H]2C1,JOH-MSK-a63-2,1028_ACL2ACR.0,0,,775.4608124126802,C1CCC2[NH2+]CCC2C1,C1CCC2CCCC2C1
CO[C@]1(O[C@@H](O[C@H]2CC[C@H]3CC[NH2+][C@H]3C2)[C@H](O)[C@](O)(CCNC(=O)CC)[C@H]1O)C(=O)O,JOH-MSK-a63-3,1029_ACL2ACR.0,0,,863.8180193008832,C1CCC(OC2CCC3CC[NH2+]C3C2)OC1,C1CCC(CC2CCC3CCCC3C2)CC1
CO[C@]1(O[C@@H](O[C@H]2CC[C@H]3CC[NH2+][C@H]3C2)[C@H](O)[C@](O)(CCNC(=O)C)[C@H]1O)C(=O)O,JOH-MSK-a63-3,1029_ACL.0,0,,833.5035223641679,C1CCC(OC2CCC3CC[NH2+]C3C2)OC1,C1CCC(CC2CCC3CCCC3C2)CC1
O[C@H]1CC[C@H]2[NH2+]C[C@@H](CCNC(=O)CC)[C@H]2C1,JOH-MSK-a63-4,1030_ACL2ACR.0,0,,919.7485062368512,C1CCC2[NH2+]CCC2C1,C1CCC2CCCC2C1
O[C@@H]1CC[C@@H]2[NH2+]C[C@H](CCNC(=O)C)[C@@H]2C1,JOH-MSK-a63-4,1030_ACL.0,0,,1332.342952189624,C1CCC2[NH2+]CCC2C1,C1CCC2CCCC2C1
OS(=O)(=O)O[C@H]1CC[C@H]2[NH2+]C[C@@H](CCNC(=O)CC)[C@H]2C1,JOH-MSK-a63-5,1031_ACL2ACR.0,0,,1069.511338096087,C1CCC2[NH2+]CCC2C1,C1CCC2CCCC2C1
OS(=O)(=O)O[C@@H]1CC[C@@H]2[NH2+]C[C@H](CCNC(=O)C)[C@@H]2C1,JOH-MSK-a63-5,1031_ACL.0,0,,1019.2284012195039,C1CCC2[NH2+]CCC2C1,C1CCC2CCCC2C1
O[C@@H]1[C@@H](O)[C@H](O[C@H]2CC[C@@H]3[NH2+]C[C@H](CCNC(=O)CC)[C@@H]3C2)O[C@@H]([C@H]1O)C(=O)O,JOH-MSK-a63-6,1032_ACL2ACR.0,0,,1183.2952773011286,C1CCC(OC2CCC3[NH2+]CCC3C2)OC1,C1CCC(CC2CCC3CCCC3C2)CC1
O[C@@H]1[C@@H](O)[C@H](O[C@@H]2CC[C@H]3[NH2+]C[C@@H](CCNC(=O)C)[C@H]3C2)O[C@@H]([C@H]1O)C(=O)O,JOH-MSK-a63-6,1032_ACL.0,0,,510.79733645814696,C1CCC(OC2CCC3[NH2+]CCC3C2)OC1,C1CCC(CC2CCC3CCCC3C2)CC1
CNC(=O)[C@H]([NH2+]CCNC(=O)C)c1cccc(C[NH+]2CCN(CC2)C(=O)C)c1,MAK-UNK-9d4-1,1084_NCL.0,0,,472.62305880410884,c1ccc(C[NH+]2CCNCC2)cc1,C1CCC(CC2CCCCC2)CC1
CNC(=O)[C@H]([NH2+]CCNC(=O)C)c1cccc(C[NH+]2CCN(CC2)C(=O)CC)c1,MAK-UNK-9d4-1,1084_NCL2ACR.0,0,,890.2931243624652,c1ccc(C[NH+]2CCNCC2)cc1,C1CCC(CC2CCCCC2)CC1
CNC(=O)[C@H]([NH2+]CCNC(=O)CC)c1cccc(C[NH+]2CCN(CC2)C(=O)CCl)c1,MAK-UNK-9d4-1,1084_ACL2ACR.0,0,,372.903239419987,c1ccc(C[NH+]2CCNCC2)cc1,C1CCC(CC2CCCCC2)CC1
CNC(=O)[C@H]([NH2+]CCNC(=O)C)c1cccc(C[NH+]2CCN(CC2)C(=O)CCl)c1,MAK-UNK-9d4-1,1084_ACL.0,0,,847.6895644707445,c1ccc(C[NH+]2CCNCC2)cc1,C1CCC(CC2CCCCC2)CC1
CCC(=O)NCC[C@@H]1CCc2ccc3CCCc3c12,ANT-OPE-997-1,1136_ACL2ACR.0,0,,1179.2240364243492,c1cc2c(c3c1CCC3)CCC2,C1CC2CCC3CCCC3C2C1
CC(=O)NCC[C@@H]1CCc2ccc3CCCc3c12,ANT-OPE-997-1,1136_ACL.0,0,,1053.6438911620442,c1cc2c(c3c1CCC3)CCC2,C1CC2CCC3CCCC3C2C1
NS(=O)(=O)c1ccc2c(F)c(CN3CCN(C[C@@H](C3)c3cccnc3)C(=O)C)ccc2c1,KEI-UNI-85a-1,1315_ACL.0,0,,1027.020616235493,c1cncc(C2CNCCN(Cc3ccc4ccccc4c3)C2)c1,C1CCC(C2CCCCC(CC3CCC4CCCCC4C3)C2)CC1
